date,geography,geography code,Number of rooms (VOA): Total: All households,Number of rooms (VOA): 1 room,Number of rooms (VOA): 2 rooms,Number of rooms (VOA): 3 rooms,Number of rooms (VOA): 4 rooms,Number of rooms (VOA): 5 rooms,Number of rooms (VOA): 6 rooms,Number of rooms (VOA): 7 rooms,Number of rooms (VOA): 8 rooms,Number of rooms (VOA): 9 or more rooms
2021,Hyndburn,E07000120,34791,112,2757,12697,10915,5641,1862,472,184,151
2021,Lancaster,E07000121,59981,303,5172,14835,15522,15304,5185,2089,840,731
2021,Pendle,E07000122,38064,61,2596,13205,11308,6858,2446,972,354,264
2021,Preston,E07000123,59608,551,5609,13248,20631,12514,4317,1787,577,374
2021,Ribble Valley,E07000124,26747,167,1495,6441,7239,5828,3069,1512,594,402
2021,Rossendale,E07000125,30561,104,2395,10519,8570,5148,2455,917,285,168
2021,South Ribble,E07000126,48588,110,2235,9778,18000,11551,4624,1603,476,211
2021,West Lancashire,E07000127,48532,144,2845,8445,15106,12516,5652,2482,846,496
2021,Wyre,E07000128,50767,227,3446,11413,14571,13421,4763,1833,702,391
2021,Blaby,E07000129,42578,98,1841,7136,14193,12045,4730,1767,527,241
2021,Charnwood,E07000130,73786,195,5243,12387,23763,18757,8098,3447,1226,670
2021,Harborough,E07000131,40413,85,1938,7118,10534,9063,6149,3351,1279,896
2021,Hinckley and Bosworth,E07000132,49446,120,2558,10242,16533,11675,4845,2258,811,404
2021,Melton,E07000133,22596,96,1094,3803,6930,5915,2590,1304,528,336
2021,North West Leicestershire,E07000134,44975,128,2119,7426,15698,10780,5468,2247,732,377
2021,Oadby and Wigston,E07000135,22616,99,933,4361,7387,5945,2372,974,326,219
2021,Boston,E07000136,29405,145,2051,7000,9710,6596,2384,947,340,232
2021,East Lindsey,E07000137,64754,358,3706,19470,20258,10647,5773,2547,1102,893
2021,Lincoln,E07000138,42509,227,4895,10969,11870,9392,3278,1187,383,308
2021,North Kesteven,E07000139,50989,76,1447,10546,17866,10261,6440,2663,1075,615
2021,South Holland,E07000140,40702,139,1723,9475,13130,9581,4054,1548,667,385
2021,South Kesteven,E07000141,62849,182,2777,12283,19099,14216,7955,3872,1616,849
2021,West Lindsey,E07000142,42345,107,1482,8681,13117,9569,4929,2673,1049,738
2021,Breckland,E07000143,60361,159,3762,13552,20456,11120,6051,3154,1230,877
2021,Broadland,E07000144,57761,68,2841,11450,19167,12372,6798,3192,1127,746
2021,Great Yarmouth,E07000145,44544,385,4175,10416,13795,9484,3848,1421,514,506
2021,King's Lynn and West Norfolk,E07000146,67463,395,4177,15922,21779,13919,6296,2911,1146,918
2021,North Norfolk,E07000147,48374,174,3129,12392,15018,9169,4346,2230,956,960
2021,Norwich,E07000148,64460,892,10102,15080,19530,13132,3141,1456,621,506
2021,South Norfolk,E07000149,61381,174,3076,12838,19172,12130,7720,3856,1421,994
2021,Craven,E07000163,26069,83,1818,6334,7489,5602,2705,1196,479,363
2021,Hambleton,E07000164,40805,63,2377,7994,10610,8940,5432,3023,1333,1033
2021,Harrogate,E07000165,71168,418,5843,15509,16477,15475,8801,4713,2165,1767
2021,Richmondshire,E07000166,20944,123,1096,4587,5955,4596,2505,1142,477,463
2021,Ryedale,E07000167,24711,40,1304,5822,7420,4831,2829,1244,576,645
2021,Scarborough,E07000168,51123,334,5132,14310,13978,10024,4029,1786,765,765
2021,Selby,E07000169,39560,130,1849,7959,13486,7785,5038,2214,708,391
2021,Ashfield,E07000170,54507,190,2707,12093,22708,11985,3360,1017,323,124
2021,Bassetlaw,E07000171,51458,165,3025,9330,18024,12323,5218,2030,852,491
2021,Broxtowe,E07000172,48360,110,2942,9198,17560,12960,3885,1133,365,207
2021,Gedling,E07000173,51551,65,2708,9927,18366,13590,4473,1516,620,286
2021,Mansfield,E07000174,48035,104,2852,9657,17531,13259,3105,1069,255,203
2021,Newark and Sherwood,E07000175,53331,138,2706,10612,20238,9753,5400,2668,1101,715
2021,Rushcliffe,E07000176,49881,100,2336,9195,12469,13112,7234,3373,1428,634
2021,Cherwell,E07000177,65895,396,5680,13775,19408,13265,7516,3446,1439,970
2021,Oxford,E07000178,55241,1173,6961,11847,12276,15185,4327,1814,754,904
2021,South Oxfordshire,E07000179,61497,199,3753,12985,16863,13116,7327,3882,1733,1639
2021,Vale of White Horse,E07000180,57497,254,4101,10893,14375,12740,7921,4002,1916,1295
2021,West Oxfordshire,E07000181,47980,279,3090,10263,13926,10055,5455,2864,1165,883
2021,Mendip,E07000187,50294,191,4149,10708,13714,11275,5704,2547,1047,959
2021,Sedgemoor,E07000188,53904,174,3949,11627,15146,11853,6285,3028,1059,783
